caso,nodo_u,nodo_v,dist_km,SKR_bits_pulso,viable_QKD
CyL,Ólvega,Soria,39.7872643727474,0.0030034822654554164,True
CyL,Almazán,Arcos de Jalón,37.23744124990688,0.003378917933904848,True
CyL,Almazán,Berlanga de Duero,27.412911093930266,0.005320989913171706,True
CyL,Almazán,Soria,31.397417368035725,0.004425684158101652,True
CyL,Berlanga de Duero,Burgo de Osma-Ciudad de Osma,21.848998058950187,0.006883466801465952,True
CyL,Berlanga de Duero,San Leonardo de Yagüe,43.90185630229719,0.0024836990625828545,True
CyL,Burgo de Osma-Ciudad de Osma,San Leonardo de Yagüe,26.843570994425896,0.005462973438014586,True
CyL,Pedraja de Portillo (La),Zaratán,23.981501172378078,0.006236455867477852,True
CyL,Pedraja de Portillo (La),Viana de Cega,10.99691218574281,0.011384526433462092,True
CyL,Pedraja de Portillo (La),Santovenia de Pisuerga,25.156575658274203,0.00590640287502746,True
CyL,Pedraja de Portillo (La),Pedrajas de San Esteban,15.75885782408309,0.009127477128774871,True
CyL,Pedraja de Portillo (La),Seca (La),22.943173084609658,0.006543481890362526,True
CyL,Pedraja de Portillo (La),Traspinedo,18.26466047045343,0.00812657238023589,True
CyL,Zaratán,Viana de Cega,14.943839973037619,0.009479057136226772,True
CyL,Zaratán,Santovenia de Pisuerga,8.880047867439558,0.012561022153565377,True
CyL,Zaratán,Pedrajas de San Esteban,39.60316485644309,0.003029130715313609,True
CyL,Zaratán,Seca (La),29.24896121972763,0.004887845915607814,True
CyL,Zaratán,Villabrágima,32.72801824524806,0.004161695298660283,True
CyL,Zaratán,Traspinedo,27.59112927996313,0.005277310894862977,True
CyL,Viana de Cega,Santovenia de Pisuerga,19.39731624743385,0.007711113480388716,True
CyL,Viana de Cega,Pedrajas de San Esteban,25.48419403658527,0.005817548435866157,True
CyL,Viana de Cega,Seca (La),18.11275016690748,0.008183978956970832,True
CyL,Viana de Cega,Villabrágima,44.415930358046644,0.002425433731701029,True
CyL,Viana de Cega,Traspinedo,23.86557461973715,0.0062700043501545556,True
CyL,Santovenia de Pisuerga,Pedrajas de San Esteban,40.739990231156156,0.002874184140069922,True
CyL,Santovenia de Pisuerga,Seca (La),36.25509176464677,0.0035357989698555723,True
CyL,Santovenia de Pisuerga,Villabrágima,37.94205619386866,0.003270703747419193,True
CyL,Santovenia de Pisuerga,Traspinedo,22.41329076364906,0.006705968894713582,True
CyL,Pedrajas de San Esteban,Seca (La),28.545855623863417,0.005049372029346195,True
CyL,Pedrajas de San Esteban,Traspinedo,27.809829511005876,0.005224201543177101,True
CyL,Seca (La),Traspinedo,40.418935294454386,0.0029171208199475305,True
CyL,Seca (La),Toro,42.49465354416175,0.002650459051621773,True
CyL,Villabrágima,Toro,40.497111831079245,0.002906606989877783,True
CyL,Villabrágima,Villalpando,25.117300074443314,0.005917145977345754,True
CyL,Trabazos,Puebla de Sanabria,36.130591620564466,0.0035561958050787617,True
CyL,Benavente,Santibáñez de Vidriales,29.23975088156274,0.0048899279575418024,True
CyL,Benavente,Villalpando,26.64693135557256,0.005512890217725253,True
CyL,Bermillo de Sayago,Villaralbo,38.4589581618895,0.0031935321535626914,True
CyL,Bermillo de Sayago,Fermoselle,24.45450387956526,0.0061014292264967955,True
CyL,Villaralbo,Fuentesaúco,33.175347774741915,0.004076539336137008,True
CyL,Villaralbo,Toro,24.241670677736032,0.006161818978695316,True
CyL,Fuentesaúco,Toro,34.09978003010382,0.003906053255506264,True
CyL,Toro,Villalpando,37.6358783340935,0.003317293098998559,True
España,Abrucena,Berja,34.62232787645306,0.003812864390034928,True
España,Abrucena,Benahadux,38.06903421067259,0.003251575026284319,True
España,Abrucena,Canjáyar,14.628187961828955,0.00961885555187629,True
España,Abrucena,Ejido (El),39.83092354316164,0.0029974317131462097,True
España,Abrucena,Gérgal,22.9845578352439,0.0065309590928117525,True
