,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient,Cluster
Pallaresos (Els),0.0136986301369863,0.0694474935967801,0.002120386258365081,0.037333678484286384,0.7307692307692307,1
Espluga de Francolí (L'),0.01791359325605901,0.07190483406576754,0.00766179121757157,0.033768902980925435,0.5,2
Falset,0.012644889357218123,0.07383490235742628,0.006319746673914705,0.008165792008325727,0.5303030303030303,0
Roquetes,0.01053740779768177,0.07790182236086028,0.0008885520850462472,0.00034006354021889125,0.6,0
Rossell,0.011591148577449946,0.0804851157662624,0.006968829868502402,7.746585592171946e-05,0.5272727272727272,0
Aceuchal,0.01791359325605901,0.07699797160243407,0.007242124778397545,4.739654383746865e-11,0.5220588235294118,0
Berlanga,0.008429926238145416,0.07900432900432901,0.005271015284128943,9.437996768208364e-12,0.6071428571428571,0
Zarza (La),0.011591148577449946,0.07930803944509443,0.00219021757844455,6.777526901430083e-11,0.6181818181818182,0
Torre de Miguel Sesmero,0.01685985247629083,0.07358870967741936,0.0022800287355413122,2.971441466501625e-11,0.5916666666666667,0
Alburquerque,0.006322444678609061,0.07473617892581509,0.0004415063099229691,1.673763872164557e-11,0.5333333333333333,0
Alconchel,0.011591148577449946,0.07297193387158785,0.00061496097275619,1.8332757721039968e-11,0.7272727272727273,1
Calamonte,0.012644889357218123,0.0789583159996672,0.0060642545106925514,9.109154493598028e-11,0.6363636363636364,0
Granja de Torrehermosa,0.009483667017913592,0.08145223585958287,0.017833269928765657,1.6232701374344687e-11,0.3888888888888889,2
Badajoz,0.01053740779768177,0.07385214007782101,0.0021623896711903197,1.8608262677985092e-11,0.5555555555555556,0
Salvaleón,0.018967334035827184,0.07385214007782101,0.006012880314461676,3.1626273470629914e-11,0.5555555555555556,0
Bienvenida,0.014752370916754477,0.07510882469331223,0.002856194416216976,1.790545169125274e-11,0.4945054945054945,2
Segura de León,0.014752370916754477,0.0732196589769308,0.001789804573942597,1.678324464033122e-11,0.5824175824175825,0
Burguillos del Cerro,0.01791359325605901,0.07440802885369296,0.007178018127497057,2.941059757674348e-11,0.5808823529411765,0
Peñalsordo,0.009483667017913592,0.08668249908659116,0.011707962952046206,8.102140519266742e-10,0.5,2
Monesterio,0.014752370916754477,0.07494866529774127,0.008205732733031568,1.4092933107439388e-11,0.5164835164835165,0
Coronada (La),0.008429926238145416,0.08505108442373185,0.017502094908039282,3.637771126492208e-10,0.35714285714285715,2
Campillo de Llerena,0.008429926238145416,0.07893861254366993,0.00421231576085839,1.5375196014185325e-11,0.5357142857142857,0
Navalvillar de Pela,0.011591148577449946,0.08786223497824276,0.015328602396716845,2.0602979070901825e-09,0.41818181818181815,2
Valdecaballeros,0.0073761854583772385,0.086579691633975,0.00028629433057395935,1.5554028875947708e-09,0.7142857142857143,1
Zalamea de la Serena,0.008429926238145416,0.08424323124722592,0.021564863981913436,5.70469545820987e-11,0.35714285714285715,2
Cheles,0.006322444678609061,0.06887792132384961,0.0,8.977939112537524e-12,1.0,1
Codosera (La),0.004214963119072708,0.07301685004231746,0.00011019038763150387,5.623647483530283e-12,0.6666666666666666,1
Corte de Peleas,0.018967334035827184,0.07752001306975985,0.020669783784460008,5.067396184152538e-11,0.5228758169934641,0
Villanueva de la Serena,0.009483667017913592,0.08501298933978321,0.01611145410371557,3.398556660518827e-10,0.4722222222222222,2
Puebla de Alcocer,0.009483667017913592,0.08847659891851575,0.009857770180447466,1.3154641127022062e-09,0.5833333333333334,0
Parra (La),0.015806111696522653,0.0741580057826053,0.001650420897744034,2.934780541055803e-11,0.6476190476190476,0
