red,protocolo,p,S_mean,S_std,C_median_mean,C_median_std
adif,betweenness_adaptive,0.35,0.0048247422680412376,0.000976719116068207,0.0,0.0
adif,betweenness_adaptive,0.36,0.004329896907216495,0.0006185567010309278,,
adif,betweenness_adaptive,0.37,0.004288659793814434,0.0005593674212886817,,
adif,betweenness_adaptive,0.38,0.004288659793814434,0.0005593674212886817,,
adif,betweenness_adaptive,0.39,0.004288659793814434,0.0005593674212886817,,
adif,betweenness_adaptive,0.4,0.004247422680412371,0.0004896635912180584,0.0,0.0
adif,betweenness_adaptive,0.41,0.004247422680412371,0.0004896635912180584,,
adif,betweenness_adaptive,0.42,0.004247422680412371,0.0004896635912180584,,
adif,betweenness_adaptive,0.43,0.00420618556701031,0.0004040395452013489,,
adif,betweenness_adaptive,0.44,0.00420618556701031,0.0004040395452013489,,
adif,betweenness_adaptive,0.45,0.004164948453608247,0.00028865979381443294,0.0,0.0
adif,betweenness_adaptive,0.46,0.004164948453608247,0.00028865979381443294,,
adif,betweenness_adaptive,0.47,0.004164948453608247,0.00028865979381443294,,
adif,betweenness_adaptive,0.48,0.004164948453608247,0.00028865979381443294,,
adif,betweenness_adaptive,0.49,0.004164948453608247,0.00028865979381443294,,
adif,betweenness_adaptive,0.5,0.004164948453608247,0.00028865979381443294,0.0,0.0
